dataset,split,configuration,seed,sample_id,label,probability
biosnap,random,full,42,0,0,0.0013004043139517307
biosnap,random,full,42,1,1,0.9999964237213135
biosnap,random,full,42,2,1,0.9995321035385132
biosnap,random,full,42,3,1,0.9994195699691772
biosnap,random,full,42,4,1,0.9998087286949158
biosnap,random,full,42,5,0,0.00024050504725892097
biosnap,random,full,42,6,1,0.9999985694885254
biosnap,random,full,42,7,0,0.018430817872285843
biosnap,random,full,42,8,1,0.9997708201408386
biosnap,random,full,42,9,1,0.9999955892562866
biosnap,random,full,42,10,1,0.9814831614494324
biosnap,random,full,42,11,0,0.9999713897705078
biosnap,random,full,42,12,0,0.00032247736817225814
biosnap,random,full,42,13,0,0.009022832848131657
biosnap,random,full,42,14,1,0.9999983310699463
biosnap,random,full,42,15,1,0.9999585151672363
biosnap,random,full,42,16,0,0.6010106205940247
biosnap,random,full,42,17,0,4.355596502136905e-06
biosnap,random,full,42,18,0,0.005757922772318125
biosnap,random,full,42,19,0,0.10385914891958237
biosnap,random,full,42,20,0,0.0276199858635664
biosnap,random,full,42,21,0,2.9323642593226396e-05
biosnap,random,full,42,22,0,1.6137641068780795e-05
biosnap,random,full,42,23,0,1.4184422070684377e-05
biosnap,random,full,42,24,1,0.9999997615814209
biosnap,random,full,42,25,0,0.03672666847705841
biosnap,random,full,42,26,1,0.5137395858764648
biosnap,random,full,42,27,0,0.09960439801216125
biosnap,random,full,42,28,1,0.9999880790710449
biosnap,random,full,42,29,0,3.361159031101124e-07
biosnap,random,full,42,30,1,0.9999786615371704
biosnap,random,full,42,31,1,0.9999997615814209
biosnap,random,full,42,32,1,0.9999781847000122
biosnap,random,full,42,33,0,0.8765355944633484
biosnap,random,full,42,34,1,0.9999923706054688
biosnap,random,full,42,35,1,0.9991016387939453
biosnap,random,full,42,36,0,8.99845781532349e-06
biosnap,random,full,42,37,1,0.9999574422836304
biosnap,random,full,42,38,1,0.9999659061431885
biosnap,random,full,42,39,1,0.9991994500160217
biosnap,random,full,42,40,1,1.0
biosnap,random,full,42,41,1,0.3355283737182617
biosnap,random,full,42,42,0,0.010237648151814938
biosnap,random,full,42,43,1,0.9999637603759766
biosnap,random,full,42,44,0,0.9948605895042419
biosnap,random,full,42,45,1,0.9999990463256836
biosnap,random,full,42,46,0,6.29690766800195e-05
biosnap,random,full,42,47,1,0.9999792575836182
biosnap,random,full,42,48,0,0.1495174616575241
biosnap,random,full,42,49,0,0.9992945194244385
biosnap,random,full,42,50,0,3.9077924157027155e-05
biosnap,random,full,42,51,0,0.001432116492651403
biosnap,random,full,42,52,0,0.00042283142101950943
biosnap,random,full,42,53,1,1.0
biosnap,random,full,42,54,1,0.999884843826294
biosnap,random,full,42,55,1,0.9999390840530396
biosnap,random,full,42,56,0,0.0034882843028753996
biosnap,random,full,42,57,0,0.6985384225845337
biosnap,random,full,42,58,0,0.9842993021011353
biosnap,random,full,42,59,1,0.9999957084655762
biosnap,random,full,42,60,0,8.457644980808254e-06
biosnap,random,full,42,61,1,0.9999998807907104
biosnap,random,full,42,62,1,0.0006423131562769413
biosnap,random,full,42,63,0,2.1455645764945075e-05
biosnap,random,full,42,64,0,0.9946576952934265
biosnap,random,full,42,65,1,0.9997313618659973
biosnap,random,full,42,66,1,0.9999414682388306
biosnap,random,full,42,67,1,0.9995241165161133
biosnap,random,full,42,68,0,0.024377986788749695
biosnap,random,full,42,69,0,5.85329416935565e-07
biosnap,random,full,42,70,0,0.9997039437294006
biosnap,random,full,42,71,0,0.8635714054107666
biosnap,random,full,42,72,1,0.9999914169311523
biosnap,random,full,42,73,0,0.8586594462394714
biosnap,random,full,42,74,0,0.021034322679042816
biosnap,random,full,42,75,1,1.0
biosnap,random,full,42,76,1,0.0013710551429539919
biosnap,random,full,42,77,1,0.9597777128219604
biosnap,random,full,42,78,0,0.002633311552926898
biosnap,random,full,42,79,1,0.9992775321006775
biosnap,random,full,42,80,1,0.999992847442627
biosnap,random,full,42,81,1,0.16436675190925598
biosnap,random,full,42,82,1,0.9999933242797852
biosnap,random,full,42,83,0,5.418884938990232e-06
biosnap,random,full,42,84,0,0.9980112314224243
biosnap,random,full,42,85,0,0.9601408839225769
biosnap,random,full,42,86,1,0.9997925162315369
biosnap,random,full,42,87,0,0.00047977102803997695
biosnap,random,full,42,88,1,0.01647549867630005
biosnap,random,full,42,89,0,0.9978506565093994
biosnap,random,full,42,90,0,0.023187803104519844
biosnap,random,full,42,91,0,2.3879700165707618e-05
biosnap,random,full,42,92,0,0.9905703067779541
biosnap,random,full,42,93,1,0.9948495030403137
biosnap,random,full,42,94,1,1.0
biosnap,random,full,42,95,1,0.9999990463256836
biosnap,random,full,42,96,0,0.0018871158827096224
biosnap,random,full,42,97,1,0.9999995231628418
biosnap,random,full,42,98,0,5.1746374083450064e-05
biosnap,random,full,42,99,0,8.14552913652733e-05
