+-----------+------------+
|  # Epoch  | Train_loss |
+-----------+------------+
|  epoch 1  |   0.6138   |
|  epoch 2  |   0.5144   |
|  epoch 3  |   0.4791   |
|  epoch 4  |   0.4564   |
|  epoch 5  |   0.4421   |
|  epoch 6  |   0.4322   |
|  epoch 7  |   0.4160   |
|  epoch 8  |   0.4103   |
|  epoch 9  |   0.3979   |
|  epoch 10 |   0.3808   |
|  epoch 11 |   0.3769   |
|  epoch 12 |   0.3619   |
|  epoch 13 |   0.3508   |
|  epoch 14 |   0.3419   |
|  epoch 15 |   0.3305   |
|  epoch 16 |   0.3186   |
|  epoch 17 |   0.3121   |
|  epoch 18 |   0.3003   |
|  epoch 19 |   0.2922   |
|  epoch 20 |   0.2870   |
|  epoch 21 |   0.2729   |
|  epoch 22 |   0.2687   |
|  epoch 23 |   0.2613   |
|  epoch 24 |   0.2517   |
|  epoch 25 |   0.2438   |
|  epoch 26 |   0.2402   |
|  epoch 27 |   0.2290   |
|  epoch 28 |   0.2240   |
|  epoch 29 |   0.2190   |
|  epoch 30 |   0.2138   |
|  epoch 31 |   0.2108   |
|  epoch 32 |   0.2023   |
|  epoch 33 |   0.1978   |
|  epoch 34 |   0.1881   |
|  epoch 35 |   0.1879   |
|  epoch 36 |   0.1855   |
|  epoch 37 |   0.1781   |
|  epoch 38 |   0.1756   |
|  epoch 39 |   0.1684   |
|  epoch 40 |   0.1641   |
|  epoch 41 |   0.1588   |
|  epoch 42 |   0.1562   |
|  epoch 43 |   0.1495   |
|  epoch 44 |   0.1471   |
|  epoch 45 |   0.1437   |
|  epoch 46 |   0.1433   |
|  epoch 47 |   0.1362   |
|  epoch 48 |   0.1363   |
|  epoch 49 |   0.1334   |
|  epoch 50 |   0.1289   |
|  epoch 51 |   0.1299   |
|  epoch 52 |   0.1253   |
|  epoch 53 |   0.1189   |
|  epoch 54 |   0.1192   |
|  epoch 55 |   0.1201   |
|  epoch 56 |   0.1189   |
|  epoch 57 |   0.1081   |
|  epoch 58 |   0.1146   |
|  epoch 59 |   0.1111   |
|  epoch 60 |   0.1042   |
|  epoch 61 |   0.1041   |
|  epoch 62 |   0.1023   |
|  epoch 63 |   0.0982   |
|  epoch 64 |   0.1030   |
|  epoch 65 |   0.0980   |
|  epoch 66 |   0.0923   |
|  epoch 67 |   0.0984   |
|  epoch 68 |   0.0930   |
|  epoch 69 |   0.0934   |
|  epoch 70 |   0.0839   |
|  epoch 71 |   0.0883   |
|  epoch 72 |   0.0835   |
|  epoch 73 |   0.0875   |
|  epoch 74 |   0.0843   |
|  epoch 75 |   0.0822   |
|  epoch 76 |   0.0797   |
|  epoch 77 |   0.0799   |
|  epoch 78 |   0.0847   |
|  epoch 79 |   0.0758   |
|  epoch 80 |   0.0768   |
|  epoch 81 |   0.0670   |
|  epoch 82 |   0.0752   |
|  epoch 83 |   0.0736   |
|  epoch 84 |   0.0711   |
|  epoch 85 |   0.0715   |
|  epoch 86 |   0.0688   |
|  epoch 87 |   0.0668   |
|  epoch 88 |   0.0686   |
|  epoch 89 |   0.0657   |
|  epoch 90 |   0.0653   |
|  epoch 91 |   0.0663   |
|  epoch 92 |   0.0662   |
|  epoch 93 |   0.0609   |
|  epoch 94 |   0.0634   |
|  epoch 95 |   0.0634   |
|  epoch 96 |   0.0606   |
|  epoch 97 |   0.0609   |
|  epoch 98 |   0.0628   |
|  epoch 99 |   0.0569   |
| epoch 100 |   0.0551   |
| epoch 101 |   0.0554   |
| epoch 102 |   0.0505   |
| epoch 103 |   0.0519   |
| epoch 104 |   0.0529   |
| epoch 105 |   0.0561   |
| epoch 106 |   0.0532   |
| epoch 107 |   0.0545   |
| epoch 108 |   0.0561   |
| epoch 109 |   0.0525   |
| epoch 110 |   0.0520   |
| epoch 111 |   0.0546   |
| epoch 112 |   0.0488   |
| epoch 113 |   0.0519   |
| epoch 114 |   0.0483   |
| epoch 115 |   0.0475   |
| epoch 116 |   0.0440   |
| epoch 117 |   0.0475   |
| epoch 118 |   0.0466   |
| epoch 119 |   0.0533   |
| epoch 120 |   0.0498   |
| epoch 121 |   0.0462   |
| epoch 122 |   0.0473   |
| epoch 123 |   0.0436   |
| epoch 124 |   0.0417   |
| epoch 125 |   0.0419   |
| epoch 126 |   0.0403   |
| epoch 127 |   0.0398   |
| epoch 128 |   0.0411   |
| epoch 129 |   0.0389   |
| epoch 130 |   0.0460   |
| epoch 131 |   0.0421   |
| epoch 132 |   0.0382   |
| epoch 133 |   0.0373   |
| epoch 134 |   0.0393   |
| epoch 135 |   0.0415   |
| epoch 136 |   0.0449   |
| epoch 137 |   0.0374   |
| epoch 138 |   0.0414   |
| epoch 139 |   0.0390   |
| epoch 140 |   0.0362   |
| epoch 141 |   0.0349   |
| epoch 142 |   0.0398   |
| epoch 143 |   0.0348   |
| epoch 144 |   0.0362   |
| epoch 145 |   0.0324   |
| epoch 146 |   0.0378   |
| epoch 147 |   0.0376   |
| epoch 148 |   0.0312   |
| epoch 149 |   0.0350   |
| epoch 150 |   0.0310   |
| epoch 151 |   0.0331   |
| epoch 152 |   0.0362   |
| epoch 153 |   0.0353   |
| epoch 154 |   0.0311   |
| epoch 155 |   0.0363   |
| epoch 156 |   0.0362   |
| epoch 157 |   0.0371   |
| epoch 158 |   0.0337   |
| epoch 159 |   0.0375   |
| epoch 160 |   0.0363   |
| epoch 161 |   0.0307   |
| epoch 162 |   0.0335   |
| epoch 163 |   0.0261   |
| epoch 164 |   0.0296   |
| epoch 165 |   0.0293   |
| epoch 166 |   0.0316   |
| epoch 167 |   0.0329   |
| epoch 168 |   0.0295   |
| epoch 169 |   0.0317   |
| epoch 170 |   0.0318   |
| epoch 171 |   0.0282   |
| epoch 172 |   0.0261   |
| epoch 173 |   0.0299   |
| epoch 174 |   0.0265   |
| epoch 175 |   0.0323   |
| epoch 176 |   0.0282   |
| epoch 177 |   0.0279   |
| epoch 178 |   0.0265   |
| epoch 179 |   0.0285   |
| epoch 180 |   0.0290   |
| epoch 181 |   0.0289   |
| epoch 182 |   0.0275   |
| epoch 183 |   0.0226   |
| epoch 184 |   0.0308   |
| epoch 185 |   0.0311   |
| epoch 186 |   0.0267   |
| epoch 187 |   0.0229   |
| epoch 188 |   0.0308   |
| epoch 189 |   0.0295   |
| epoch 190 |   0.0271   |
| epoch 191 |   0.0241   |
| epoch 192 |   0.0253   |
| epoch 193 |   0.0296   |
| epoch 194 |   0.0253   |
| epoch 195 |   0.0241   |
| epoch 196 |   0.0267   |
| epoch 197 |   0.0273   |
| epoch 198 |   0.0260   |
| epoch 199 |   0.0218   |
| epoch 200 |   0.0217   |
| epoch 201 |   0.0212   |
| epoch 202 |   0.0266   |
| epoch 203 |   0.0234   |
| epoch 204 |   0.0232   |
| epoch 205 |   0.0205   |
| epoch 206 |   0.0199   |
| epoch 207 |   0.0252   |
| epoch 208 |   0.0279   |
| epoch 209 |   0.0249   |
| epoch 210 |   0.0270   |
| epoch 211 |   0.0243   |
| epoch 212 |   0.0230   |
| epoch 213 |   0.0185   |
| epoch 214 |   0.0225   |
| epoch 215 |   0.0201   |
| epoch 216 |   0.0224   |
| epoch 217 |   0.0217   |
| epoch 218 |   0.0218   |
| epoch 219 |   0.0228   |
| epoch 220 |   0.0221   |
| epoch 221 |   0.0206   |
| epoch 222 |   0.0219   |
| epoch 223 |   0.0230   |
| epoch 224 |   0.0206   |
| epoch 225 |   0.0211   |
| epoch 226 |   0.0198   |
| epoch 227 |   0.0212   |
| epoch 228 |   0.0177   |
| epoch 229 |   0.0226   |
| epoch 230 |   0.0240   |
| epoch 231 |   0.0228   |
| epoch 232 |   0.0216   |
| epoch 233 |   0.0216   |
| epoch 234 |   0.0181   |
| epoch 235 |   0.0200   |
| epoch 236 |   0.0189   |
| epoch 237 |   0.0203   |
| epoch 238 |   0.0145   |
| epoch 239 |   0.0207   |
| epoch 240 |   0.0220   |
| epoch 241 |   0.0227   |
| epoch 242 |   0.0181   |
| epoch 243 |   0.0181   |
| epoch 244 |   0.0232   |
| epoch 245 |   0.0175   |
| epoch 246 |   0.0198   |
| epoch 247 |   0.0239   |
| epoch 248 |   0.0195   |
| epoch 249 |   0.0199   |
| epoch 250 |   0.0187   |
+-----------+------------+
