+-----------+------------+
|  # Epoch  | Train_loss |
+-----------+------------+
|  epoch 1  |   0.6174   |
|  epoch 2  |   0.5149   |
|  epoch 3  |   0.4751   |
|  epoch 4  |   0.4526   |
|  epoch 5  |   0.4384   |
|  epoch 6  |   0.4263   |
|  epoch 7  |   0.4117   |
|  epoch 8  |   0.4041   |
|  epoch 9  |   0.3908   |
|  epoch 10 |   0.3831   |
|  epoch 11 |   0.3659   |
|  epoch 12 |   0.3589   |
|  epoch 13 |   0.3497   |
|  epoch 14 |   0.3358   |
|  epoch 15 |   0.3315   |
|  epoch 16 |   0.3193   |
|  epoch 17 |   0.3088   |
|  epoch 18 |   0.3013   |
|  epoch 19 |   0.2964   |
|  epoch 20 |   0.2829   |
|  epoch 21 |   0.2766   |
|  epoch 22 |   0.2684   |
|  epoch 23 |   0.2658   |
|  epoch 24 |   0.2557   |
|  epoch 25 |   0.2497   |
|  epoch 26 |   0.2417   |
|  epoch 27 |   0.2377   |
|  epoch 28 |   0.2266   |
|  epoch 29 |   0.2286   |
|  epoch 30 |   0.2194   |
|  epoch 31 |   0.2121   |
|  epoch 32 |   0.2076   |
|  epoch 33 |   0.2059   |
|  epoch 34 |   0.1963   |
|  epoch 35 |   0.1956   |
|  epoch 36 |   0.1877   |
|  epoch 37 |   0.1880   |
|  epoch 38 |   0.1766   |
|  epoch 39 |   0.1757   |
|  epoch 40 |   0.1699   |
|  epoch 41 |   0.1684   |
|  epoch 42 |   0.1670   |
|  epoch 43 |   0.1622   |
|  epoch 44 |   0.1607   |
|  epoch 45 |   0.1460   |
|  epoch 46 |   0.1485   |
|  epoch 47 |   0.1481   |
|  epoch 48 |   0.1458   |
|  epoch 49 |   0.1392   |
|  epoch 50 |   0.1392   |
|  epoch 51 |   0.1353   |
|  epoch 52 |   0.1343   |
|  epoch 53 |   0.1295   |
|  epoch 54 |   0.1281   |
|  epoch 55 |   0.1205   |
|  epoch 56 |   0.1219   |
|  epoch 57 |   0.1194   |
|  epoch 58 |   0.1219   |
|  epoch 59 |   0.1156   |
|  epoch 60 |   0.1147   |
|  epoch 61 |   0.1114   |
|  epoch 62 |   0.1070   |
|  epoch 63 |   0.1023   |
|  epoch 64 |   0.1033   |
|  epoch 65 |   0.1084   |
|  epoch 66 |   0.1080   |
|  epoch 67 |   0.1007   |
|  epoch 68 |   0.0969   |
|  epoch 69 |   0.0973   |
|  epoch 70 |   0.0910   |
|  epoch 71 |   0.0936   |
|  epoch 72 |   0.0935   |
|  epoch 73 |   0.0943   |
|  epoch 74 |   0.0961   |
|  epoch 75 |   0.0863   |
|  epoch 76 |   0.0832   |
|  epoch 77 |   0.0844   |
|  epoch 78 |   0.0867   |
|  epoch 79 |   0.0805   |
|  epoch 80 |   0.0847   |
|  epoch 81 |   0.0821   |
|  epoch 82 |   0.0760   |
|  epoch 83 |   0.0747   |
|  epoch 84 |   0.0727   |
|  epoch 85 |   0.0802   |
|  epoch 86 |   0.0753   |
|  epoch 87 |   0.0782   |
|  epoch 88 |   0.0695   |
|  epoch 89 |   0.0742   |
|  epoch 90 |   0.0651   |
|  epoch 91 |   0.0669   |
|  epoch 92 |   0.0705   |
|  epoch 93 |   0.0722   |
|  epoch 94 |   0.0701   |
|  epoch 95 |   0.0679   |
|  epoch 96 |   0.0614   |
|  epoch 97 |   0.0601   |
|  epoch 98 |   0.0633   |
|  epoch 99 |   0.0643   |
| epoch 100 |   0.0583   |
| epoch 101 |   0.0638   |
| epoch 102 |   0.0629   |
| epoch 103 |   0.0588   |
| epoch 104 |   0.0638   |
| epoch 105 |   0.0610   |
| epoch 106 |   0.0542   |
| epoch 107 |   0.0602   |
| epoch 108 |   0.0583   |
| epoch 109 |   0.0519   |
| epoch 110 |   0.0506   |
| epoch 111 |   0.0556   |
| epoch 112 |   0.0538   |
| epoch 113 |   0.0577   |
| epoch 114 |   0.0542   |
| epoch 115 |   0.0483   |
| epoch 116 |   0.0501   |
| epoch 117 |   0.0521   |
| epoch 118 |   0.0499   |
| epoch 119 |   0.0511   |
| epoch 120 |   0.0489   |
| epoch 121 |   0.0546   |
| epoch 122 |   0.0520   |
| epoch 123 |   0.0495   |
| epoch 124 |   0.0509   |
| epoch 125 |   0.0417   |
| epoch 126 |   0.0477   |
| epoch 127 |   0.0472   |
| epoch 128 |   0.0454   |
| epoch 129 |   0.0503   |
| epoch 130 |   0.0446   |
| epoch 131 |   0.0448   |
| epoch 132 |   0.0446   |
| epoch 133 |   0.0420   |
| epoch 134 |   0.0412   |
| epoch 135 |   0.0430   |
| epoch 136 |   0.0487   |
| epoch 137 |   0.0435   |
| epoch 138 |   0.0451   |
| epoch 139 |   0.0366   |
| epoch 140 |   0.0390   |
| epoch 141 |   0.0387   |
| epoch 142 |   0.0374   |
| epoch 143 |   0.0401   |
| epoch 144 |   0.0381   |
| epoch 145 |   0.0415   |
| epoch 146 |   0.0416   |
| epoch 147 |   0.0430   |
| epoch 148 |   0.0372   |
| epoch 149 |   0.0366   |
| epoch 150 |   0.0417   |
+-----------+------------+
