+-----------+------------+
|  # Epoch  | Train_loss |
+-----------+------------+
|  epoch 1  |   0.6128   |
|  epoch 2  |   0.5124   |
|  epoch 3  |   0.4689   |
|  epoch 4  |   0.4427   |
|  epoch 5  |   0.4278   |
|  epoch 6  |   0.4129   |
|  epoch 7  |   0.4023   |
|  epoch 8  |   0.3916   |
|  epoch 9  |   0.3782   |
|  epoch 10 |   0.3714   |
|  epoch 11 |   0.3602   |
|  epoch 12 |   0.3424   |
|  epoch 13 |   0.3367   |
|  epoch 14 |   0.3260   |
|  epoch 15 |   0.3126   |
|  epoch 16 |   0.3109   |
|  epoch 17 |   0.3009   |
|  epoch 18 |   0.2881   |
|  epoch 19 |   0.2832   |
|  epoch 20 |   0.2778   |
|  epoch 21 |   0.2664   |
|  epoch 22 |   0.2592   |
|  epoch 23 |   0.2524   |
|  epoch 24 |   0.2419   |
|  epoch 25 |   0.2353   |
|  epoch 26 |   0.2305   |
|  epoch 27 |   0.2250   |
|  epoch 28 |   0.2221   |
|  epoch 29 |   0.2135   |
|  epoch 30 |   0.2132   |
|  epoch 31 |   0.2011   |
|  epoch 32 |   0.1979   |
|  epoch 33 |   0.1929   |
|  epoch 34 |   0.1916   |
|  epoch 35 |   0.1823   |
|  epoch 36 |   0.1865   |
|  epoch 37 |   0.1785   |
|  epoch 38 |   0.1703   |
|  epoch 39 |   0.1716   |
|  epoch 40 |   0.1625   |
|  epoch 41 |   0.1585   |
|  epoch 42 |   0.1522   |
|  epoch 43 |   0.1582   |
|  epoch 44 |   0.1513   |
|  epoch 45 |   0.1473   |
|  epoch 46 |   0.1473   |
|  epoch 47 |   0.1405   |
|  epoch 48 |   0.1395   |
|  epoch 49 |   0.1343   |
|  epoch 50 |   0.1353   |
|  epoch 51 |   0.1353   |
|  epoch 52 |   0.1281   |
|  epoch 53 |   0.1279   |
|  epoch 54 |   0.1229   |
|  epoch 55 |   0.1215   |
|  epoch 56 |   0.1213   |
|  epoch 57 |   0.1199   |
|  epoch 58 |   0.1145   |
|  epoch 59 |   0.1188   |
|  epoch 60 |   0.1133   |
|  epoch 61 |   0.1052   |
|  epoch 62 |   0.1065   |
|  epoch 63 |   0.1013   |
|  epoch 64 |   0.1071   |
|  epoch 65 |   0.1006   |
|  epoch 66 |   0.1028   |
|  epoch 67 |   0.0982   |
|  epoch 68 |   0.0978   |
|  epoch 69 |   0.0949   |
|  epoch 70 |   0.0942   |
|  epoch 71 |   0.0920   |
|  epoch 72 |   0.0915   |
|  epoch 73 |   0.0942   |
|  epoch 74 |   0.0886   |
|  epoch 75 |   0.0870   |
|  epoch 76 |   0.0813   |
|  epoch 77 |   0.0796   |
|  epoch 78 |   0.0854   |
|  epoch 79 |   0.0835   |
|  epoch 80 |   0.0815   |
|  epoch 81 |   0.0800   |
|  epoch 82 |   0.0783   |
|  epoch 83 |   0.0748   |
|  epoch 84 |   0.0797   |
|  epoch 85 |   0.0796   |
|  epoch 86 |   0.0738   |
|  epoch 87 |   0.0693   |
|  epoch 88 |   0.0778   |
|  epoch 89 |   0.0682   |
|  epoch 90 |   0.0685   |
|  epoch 91 |   0.0672   |
|  epoch 92 |   0.0659   |
|  epoch 93 |   0.0658   |
|  epoch 94 |   0.0713   |
|  epoch 95 |   0.0646   |
|  epoch 96 |   0.0666   |
|  epoch 97 |   0.0664   |
|  epoch 98 |   0.0655   |
|  epoch 99 |   0.0639   |
| epoch 100 |   0.0670   |
| epoch 101 |   0.0628   |
| epoch 102 |   0.0572   |
| epoch 103 |   0.0596   |
| epoch 104 |   0.0560   |
| epoch 105 |   0.0531   |
| epoch 106 |   0.0569   |
| epoch 107 |   0.0665   |
| epoch 108 |   0.0559   |
| epoch 109 |   0.0566   |
| epoch 110 |   0.0548   |
| epoch 111 |   0.0551   |
| epoch 112 |   0.0602   |
| epoch 113 |   0.0542   |
| epoch 114 |   0.0504   |
| epoch 115 |   0.0554   |
| epoch 116 |   0.0512   |
| epoch 117 |   0.0468   |
| epoch 118 |   0.0514   |
| epoch 119 |   0.0482   |
| epoch 120 |   0.0494   |
| epoch 121 |   0.0524   |
| epoch 122 |   0.0493   |
| epoch 123 |   0.0505   |
| epoch 124 |   0.0474   |
| epoch 125 |   0.0496   |
| epoch 126 |   0.0506   |
| epoch 127 |   0.0456   |
| epoch 128 |   0.0477   |
| epoch 129 |   0.0448   |
| epoch 130 |   0.0435   |
| epoch 131 |   0.0430   |
| epoch 132 |   0.0435   |
| epoch 133 |   0.0430   |
| epoch 134 |   0.0413   |
| epoch 135 |   0.0418   |
| epoch 136 |   0.0421   |
| epoch 137 |   0.0418   |
| epoch 138 |   0.0445   |
| epoch 139 |   0.0457   |
| epoch 140 |   0.0433   |
| epoch 141 |   0.0403   |
| epoch 142 |   0.0393   |
| epoch 143 |   0.0389   |
| epoch 144 |   0.0421   |
| epoch 145 |   0.0389   |
| epoch 146 |   0.0357   |
| epoch 147 |   0.0390   |
| epoch 148 |   0.0388   |
| epoch 149 |   0.0374   |
| epoch 150 |   0.0382   |
+-----------+------------+
