+-----------+------------+
|  # Epoch  | Train_loss |
+-----------+------------+
|  epoch 1  |   0.6114   |
|  epoch 2  |   0.5117   |
|  epoch 3  |   0.4710   |
|  epoch 4  |   0.4499   |
|  epoch 5  |   0.4338   |
|  epoch 6  |   0.4219   |
|  epoch 7  |   0.4034   |
|  epoch 8  |   0.3962   |
|  epoch 9  |   0.3835   |
|  epoch 10 |   0.3708   |
|  epoch 11 |   0.3617   |
|  epoch 12 |   0.3526   |
|  epoch 13 |   0.3380   |
|  epoch 14 |   0.3322   |
|  epoch 15 |   0.3144   |
|  epoch 16 |   0.3138   |
|  epoch 17 |   0.2976   |
|  epoch 18 |   0.2881   |
|  epoch 19 |   0.2782   |
|  epoch 20 |   0.2682   |
|  epoch 21 |   0.2628   |
|  epoch 22 |   0.2510   |
|  epoch 23 |   0.2483   |
|  epoch 24 |   0.2425   |
|  epoch 25 |   0.2336   |
|  epoch 26 |   0.2270   |
|  epoch 27 |   0.2196   |
|  epoch 28 |   0.2124   |
|  epoch 29 |   0.2120   |
|  epoch 30 |   0.2065   |
|  epoch 31 |   0.1995   |
|  epoch 32 |   0.1902   |
|  epoch 33 |   0.1882   |
|  epoch 34 |   0.1808   |
|  epoch 35 |   0.1741   |
|  epoch 36 |   0.1695   |
|  epoch 37 |   0.1668   |
|  epoch 38 |   0.1625   |
|  epoch 39 |   0.1589   |
|  epoch 40 |   0.1535   |
|  epoch 41 |   0.1500   |
|  epoch 42 |   0.1542   |
|  epoch 43 |   0.1441   |
|  epoch 44 |   0.1391   |
|  epoch 45 |   0.1384   |
|  epoch 46 |   0.1367   |
|  epoch 47 |   0.1405   |
|  epoch 48 |   0.1307   |
|  epoch 49 |   0.1263   |
|  epoch 50 |   0.1274   |
|  epoch 51 |   0.1239   |
|  epoch 52 |   0.1175   |
|  epoch 53 |   0.1167   |
|  epoch 54 |   0.1098   |
|  epoch 55 |   0.1158   |
|  epoch 56 |   0.1089   |
|  epoch 57 |   0.1076   |
|  epoch 58 |   0.1079   |
|  epoch 59 |   0.1021   |
|  epoch 60 |   0.1019   |
|  epoch 61 |   0.0954   |
|  epoch 62 |   0.0939   |
|  epoch 63 |   0.0943   |
|  epoch 64 |   0.0953   |
|  epoch 65 |   0.0950   |
|  epoch 66 |   0.0908   |
|  epoch 67 |   0.0902   |
|  epoch 68 |   0.0867   |
|  epoch 69 |   0.0877   |
|  epoch 70 |   0.0804   |
|  epoch 71 |   0.0820   |
|  epoch 72 |   0.0855   |
|  epoch 73 |   0.0791   |
|  epoch 74 |   0.0768   |
|  epoch 75 |   0.0730   |
|  epoch 76 |   0.0732   |
|  epoch 77 |   0.0781   |
|  epoch 78 |   0.0721   |
|  epoch 79 |   0.0736   |
|  epoch 80 |   0.0660   |
|  epoch 81 |   0.0682   |
|  epoch 82 |   0.0701   |
|  epoch 83 |   0.0703   |
|  epoch 84 |   0.0680   |
|  epoch 85 |   0.0693   |
|  epoch 86 |   0.0680   |
|  epoch 87 |   0.0646   |
|  epoch 88 |   0.0637   |
|  epoch 89 |   0.0608   |
|  epoch 90 |   0.0608   |
|  epoch 91 |   0.0612   |
|  epoch 92 |   0.0597   |
|  epoch 93 |   0.0577   |
|  epoch 94 |   0.0545   |
|  epoch 95 |   0.0633   |
|  epoch 96 |   0.0567   |
|  epoch 97 |   0.0560   |
|  epoch 98 |   0.0571   |
|  epoch 99 |   0.0533   |
| epoch 100 |   0.0594   |
| epoch 101 |   0.0506   |
| epoch 102 |   0.0561   |
| epoch 103 |   0.0516   |
| epoch 104 |   0.0490   |
| epoch 105 |   0.0490   |
| epoch 106 |   0.0557   |
| epoch 107 |   0.0500   |
| epoch 108 |   0.0571   |
| epoch 109 |   0.0499   |
| epoch 110 |   0.0481   |
| epoch 111 |   0.0456   |
| epoch 112 |   0.0491   |
| epoch 113 |   0.0427   |
| epoch 114 |   0.0421   |
| epoch 115 |   0.0463   |
| epoch 116 |   0.0486   |
| epoch 117 |   0.0439   |
| epoch 118 |   0.0411   |
| epoch 119 |   0.0424   |
| epoch 120 |   0.0441   |
| epoch 121 |   0.0436   |
| epoch 122 |   0.0449   |
| epoch 123 |   0.0453   |
| epoch 124 |   0.0398   |
| epoch 125 |   0.0395   |
| epoch 126 |   0.0389   |
| epoch 127 |   0.0434   |
| epoch 128 |   0.0441   |
| epoch 129 |   0.0345   |
| epoch 130 |   0.0382   |
| epoch 131 |   0.0416   |
| epoch 132 |   0.0392   |
| epoch 133 |   0.0324   |
| epoch 134 |   0.0389   |
| epoch 135 |   0.0348   |
| epoch 136 |   0.0375   |
| epoch 137 |   0.0416   |
| epoch 138 |   0.0342   |
| epoch 139 |   0.0392   |
| epoch 140 |   0.0343   |
| epoch 141 |   0.0317   |
| epoch 142 |   0.0372   |
| epoch 143 |   0.0370   |
| epoch 144 |   0.0339   |
| epoch 145 |   0.0373   |
| epoch 146 |   0.0308   |
| epoch 147 |   0.0369   |
| epoch 148 |   0.0372   |
| epoch 149 |   0.0354   |
| epoch 150 |   0.0313   |
+-----------+------------+
