dataset,split,model,config,auroc_mean,auroc_std,auprc_mean,auprc_std,auroc_s42,auroc_s52,auroc_s62,auroc_s72,auroc_s82,auprc_s42,auprc_s52,auprc_s62,auprc_s72,auprc_s82,pred_file,true_file,source
biosnap,random,SGBANDTI,full,0.9062,0.0019,0.9132,0.0043,0.9062,0.909,0.904,0.9065,0.9052,0.9171,0.918,0.9093,0.9086,0.913,results/stats_input/biosnap_random/SGBANDTI/,results/stats_input/biosnap_random/SGBANDTI/,results/stats_input/biosnap_random/SGBANDTI/seed_*_y_pred.npy（逐样本重算）
bindingdb,random,SGBANDTI,full,0.962,0.001,0.9482,0.0017,0.9631,0.961,0.9617,0.961,0.9629,0.9488,0.9466,0.9468,0.9478,0.9508,results/stats_input/bindingdb_random/SGBANDTI/,results/stats_input/bindingdb_random/SGBANDTI/,results/stats_input/bindingdb_random/SGBANDTI/seed_*_y_pred.npy（逐样本重算）
biosnap,unseen_drug,SGBANDTI,full,0.8794,0.0019,0.8821,0.0026,0.8801,0.8764,0.8813,0.8805,0.8785,0.882,0.8824,0.8861,0.8803,0.8795,results/stats_input/biosnap_unseen_drug/SGBANDTI/,results/stats_input/biosnap_unseen_drug/SGBANDTI/,results/stats_input/biosnap_unseen_drug/SGBANDTI/seed_*_y_pred.npy（逐样本重算）
biosnap,unseen_target,SGBANDTI,full,0.6345,0.0182,0.6124,0.0212,0.6567,0.6154,0.6461,0.6167,0.6378,0.6282,0.5861,0.6355,0.5953,0.617,results/stats_input/biosnap_unseen_target/SGBANDTI/,results/stats_input/biosnap_unseen_target/SGBANDTI/,results/stats_input/biosnap_unseen_target/SGBANDTI/seed_*_y_pred.npy（逐样本重算）
biosnap,random,SGBANDTI,no_subgraph,0.8757,0.0014,0.8782,0.0034,0.874,0.8754,0.8752,0.8761,0.8778,0.8794,0.8756,0.8738,0.8809,0.8815,results/per_seed/biosnap_random_hop2_no_subgraph/,results/per_seed/biosnap_random_hop2_no_subgraph/,results/per_seed/biosnap_random_hop2_no_subgraph/seed_*/test_y_pred.npy（逐样本重算）
biosnap,random,SGBANDTI,no_ban,0.8777,0.0025,0.8759,0.0036,0.8803,0.8783,0.8736,0.8773,0.8789,0.8785,0.8776,0.8697,0.8778,0.8757,results/per_seed/biosnap_random_hop2_no_ban/,results/per_seed/biosnap_random_hop2_no_ban/,results/per_seed/biosnap_random_hop2_no_ban/seed_*/test_y_pred.npy（逐样本重算）
biosnap,random,SGBANDTI,no_both,0.8598,0.0028,0.8551,0.0037,0.8581,0.8628,0.8603,0.8619,0.8559,0.8492,0.8553,0.8591,0.857,0.8549,results/per_seed/biosnap_random_hop2_no_both/,results/per_seed/biosnap_random_hop2_no_both/,results/per_seed/biosnap_random_hop2_no_both/seed_*/test_y_pred.npy（逐样本重算）
biosnap,random,MGNDTI,full,0.8947,0.0022,0.8983,0.0047,0.8935,0.8943,0.8971,0.8967,0.892,0.8948,0.8957,0.9006,0.9055,0.8949,results/per_seed/MGNDTI_biosnap_random/,results/per_seed/MGNDTI_biosnap_random/,results/per_seed/MGNDTI_biosnap_random/seed_*/y_score.npy（逐样本重算）
biosnap,random,MolTrans,full,0.8867,0.005,0.8927,0.0053,,,,,,,,,,,,,00_实验结果汇总.md（mean±sample SD，ddof=1；逐 seed 未公开归档）
biosnap,random,INGNN,full,0.8722,0.0006,0.8776,0.0013,,,,,,,,,,,,,00_实验结果汇总.md（mean±sample SD，ddof=1；逐 seed 未公开归档）
biosnap,random,TransformerCPI,full,0.8399,0.0068,0.8553,0.0048,,,,,,,,,,,,,00_实验结果汇总.md（mean±sample SD，ddof=1；逐 seed 未公开归档）
biosnap,random,RF,full,0.8402,0.0008,0.8678,0.0007,0.8392,0.8408,0.8413,0.8398,0.8401,0.867,0.8687,0.8684,0.8677,0.8674,results/per_seed/RF_biosnap_random/,results/per_seed/RF_biosnap_random/,results/per_seed/RF_biosnap_random/seed_*/y_prob.npy（逐样本重算）
biosnap,random,GNN-CPI,full,0.7094,0.0032,0.7247,0.0019,,,,,,,,,,,,,00_实验结果汇总.md（mean±sample SD，ddof=1；逐 seed 未公开归档）
bindingdb,random,MGNDTI,full,0.95,0.0014,0.9326,0.0021,0.9493,0.9498,0.9525,0.9491,0.9493,0.9329,0.9297,0.9352,0.9315,0.9338,results/per_seed/MGNDTI_bindingdb/,results/per_seed/MGNDTI_bindingdb/,results/per_seed/MGNDTI_bindingdb/seed_*/y_score.npy（逐样本重算）
bindingdb,random,RF,full,0.9407,0.0004,0.9209,0.0005,0.9407,0.9408,0.9403,0.9412,0.9403,0.921,0.921,0.9202,0.9217,0.9205,results/per_seed/RF_bindingdb/,results/per_seed/RF_bindingdb/,results/per_seed/RF_bindingdb/seed_*/y_prob.npy（逐样本重算）
bindingdb,random,MolTrans,full,0.9337,0.0017,0.9084,0.0055,0.9328,0.9364,0.9338,0.9339,0.9317,0.9069,0.9151,0.9109,0.9085,0.9003,results/per_seed/MolTrans_bindingdb/,results/per_seed/MolTrans_bindingdb/,results/per_seed/MolTrans_bindingdb/seed_*/y_pred.npy（逐样本重算）
bindingdb,random,INGNN,full,0.9228,0.0028,0.8951,0.0024,,,,,,,,,,,,,00_实验结果汇总.md（mean±sample SD，ddof=1；逐 seed 未公开归档）
bindingdb,random,TransformerCPI,full,0.8921,0.0013,0.8556,0.0018,0.8927,0.8931,0.8935,0.8907,0.8907,0.8558,0.8568,0.8578,0.8531,0.8546,results/per_seed/TransformerCPI_bindingdb/,results/per_seed/TransformerCPI_bindingdb/,results/per_seed/TransformerCPI_bindingdb/seed_summary.csv（逐 seed 归档，无逐样本）
bindingdb,random,GNN-CPI,full,0.6548,0.1712,0.5782,0.2045,0.9494,0.6102,0.6059,0.5,0.6087,0.9358,0.5138,0.5131,0.4141,0.5141,results/per_seed/GNN-CPI_bindingdb/,results/per_seed/GNN-CPI_bindingdb/,results/per_seed/GNN-CPI_bindingdb/seed_summary.csv（逐 seed 归档，无逐样本）
biosnap,unseen_drug,MGNDTI,full,0.8589,0.0064,0.8675,0.0042,0.8642,0.8666,0.8565,0.8508,0.8564,0.8687,0.8729,0.8665,0.868,0.8613,results/per_seed/MGNDTI_biosnap_unseen_drug/,results/per_seed/MGNDTI_biosnap_unseen_drug/,results/per_seed/MGNDTI_biosnap_unseen_drug/seed_*/y_pred.npy（逐样本重算）
biosnap,unseen_drug,RF,full,0.8493,0.0006,0.8724,0.0006,0.8489,0.8486,0.8491,0.85,0.8498,0.8718,0.8721,0.8723,0.873,0.8731,results/per_seed/RF_biosnap_unseen_drug/,results/per_seed/RF_biosnap_unseen_drug/,results/per_seed/RF_biosnap_unseen_drug/seed_*/y_prob.npy（逐样本重算）
biosnap,unseen_drug,TransformerCPI,full,0.846,0.0113,0.8551,0.0061,,,,,,,,,,,,,00_实验结果汇总.md（mean±sample SD，ddof=1；逐 seed 未公开归档）
biosnap,unseen_drug,INGNN,full,0.8417,0.0057,0.851,0.0023,,,,,,,,,,,,,00_实验结果汇总.md（mean±sample SD，ddof=1；逐 seed 未公开归档）
biosnap,unseen_drug,MolTrans,full,0.8407,0.0094,0.8476,0.0058,0.8498,0.8471,0.8379,0.8427,0.8261,0.8533,0.8544,0.8442,0.8436,0.8425,results/per_seed/MolTrans_biosnap_unseen_drug/,results/per_seed/MolTrans_biosnap_unseen_drug/,results/per_seed/MolTrans_biosnap_unseen_drug/seed_*/y_pred.npy（逐样本重算）
biosnap,unseen_drug,GNN-CPI,full,0.6797,0.0897,0.6795,0.0933,,,,,,,,,,,,,00_实验结果汇总.md（mean±sample SD，ddof=1；逐 seed 未公开归档）
biosnap,unseen_target,RF,full,0.6979,0.0122,0.6867,0.0076,0.6876,0.6861,0.7099,0.6942,0.7119,0.6796,0.6848,0.6885,0.6817,0.6989,results/per_seed/RF_biosnap_unseen_target/,results/per_seed/RF_biosnap_unseen_target/,results/per_seed/RF_biosnap_unseen_target/seed_*/y_prob.npy（逐样本重算）
biosnap,unseen_target,MGNDTI,full,0.691,0.0117,0.6836,0.0188,0.7002,0.7038,0.6842,0.6921,0.675,0.6876,0.7074,0.6815,0.6865,0.6551,results/per_seed/MGNDTI_biosnap_unseen_target/,results/per_seed/MGNDTI_biosnap_unseen_target/,results/per_seed/MGNDTI_biosnap_unseen_target/seed_*/y_pred.npy（逐样本重算）
biosnap,unseen_target,MolTrans,full,0.682,0.0166,0.6788,0.0193,,,,,,,,,,,,,00_实验结果汇总.md（mean±sample SD，ddof=1；逐 seed 未公开归档）
biosnap,unseen_target,INGNN,full,0.6526,0.009,0.6421,0.0075,,,,,,,,,,,,,00_实验结果汇总.md（mean±sample SD，ddof=1；逐 seed 未公开归档）
